,Normal.Sample.Name,EARTHWORMS,BIOCHAR,MANURE,NO_PLANT,grp,soil
F13,PM R2_RNA_F,1,0,1,0,EM,M
F19,PM R5_RNA_F,1,0,1,0,EM,M
F20,M R2_RNA_F,0,0,1,0,M,M
F25,P R4_RNA_F,1,0,0,0,E,N
F29,PBM R1_RNA_F,1,1,1,0,EBM,BM
F30,SOLO R2_RNA_F,0,0,0,1,P,N
F31,B R3_RNA_F,0,1,0,0,B,BM
F32,P R2_RNA_F,1,0,0,0,E,N
F33,PB R1_RNA_F,1,1,0,0,EB,BM
F35,P R5_RNA_F,1,0,0,0,E,N
F39,M R5_RNA_F,0,0,1,0,M,M
F40,B R1_RNA_F,0,1,0,0,B,BM
F42,SOLO R5_RNA_F,0,0,0,1,P,N
F43,SOLO R4_RNA_F,0,0,0,1,P,N
F44,PB R3_RNA_F,1,1,0,0,EB,B
F45,B R2_RNA_F,0,1,0,0,B,B
F5,BM R2_RNA_F,0,1,1,0,BM,BM
F6,BM R4_RNA_F,0,1,1,0,BM,BM
F7,M R3_RNA_F,0,0,1,0,M,M
F8,PBM R4_RNA_F,1,1,1,0,EBM,BM
F9,BM R5_RNA_F,0,1,1,0,BM,BM
